iter	Logloss
0	0.6873661455
1	0.6811325253
2	0.6755531917
3	0.6700669131
4	0.664487878
5	0.6592703092
6	0.653656373
7	0.6483711384
8	0.6425740897
9	0.6381457135
10	0.6331605943
11	0.6282852156
12	0.6229400076
13	0.6190424178
14	0.6153597215
15	0.610360441
16	0.6050913157
17	0.600776151
18	0.5956078294
19	0.5911891594
20	0.5861343561
21	0.5811662354
22	0.5766369347
23	0.5738421087
24	0.5698475191
25	0.5661823211
26	0.5624300302
27	0.5589610944
28	0.5552265655
29	0.5517685033
30	0.5487055122
31	0.5454444933
32	0.5421505117
33	0.5384532503
34	0.535825467
35	0.5327789552
36	0.5299212812
37	0.5282806117
38	0.5251148681
39	0.5228861487
40	0.5203294048
41	0.5190876407
42	0.5162788671
43	0.5132631647
44	0.5106888206
45	0.5084261706
46	0.5056943124
47	0.5032274614
48	0.5008132202
49	0.4982520159
50	0.4955493217
51	0.4933127205
52	0.4922559446
53	0.489856682
54	0.4877478262
55	0.4858889262
56	0.4841841701
57	0.4823002374
58	0.4807745273
59	0.4789910316
60	0.4768844449
61	0.4753756811
62	0.4741798807
63	0.4724095923
64	0.4708700967
65	0.4695934584
66	0.4678729406
67	0.4663590015
68	0.464584812
69	0.4635271345
70	0.4617895348
71	0.4600752092
72	0.4587835659
73	0.4572177106
74	0.4559002218
75	0.4547044711
76	0.4535251642
77	0.4522916462
78	0.451059832
79	0.449488783
80	0.448106556
81	0.446799624
82	0.4461962701
83	0.4448153565
84	0.4433214835
85	0.4422169755
86	0.4407278258
87	0.4394304678
88	0.4382152649
89	0.4371948603
90	0.4359874717
91	0.4350440602
92	0.4338598053
93	0.4326203132
94	0.4314396121
95	0.430140668
96	0.4289271623
97	0.4278089707
98	0.4267901126
99	0.4260567572
100	0.4249725516
101	0.4239718338
102	0.4235507144
103	0.4225193471
104	0.421741207
105	0.4207776099
106	0.4198575526
107	0.4194606053
108	0.4189471276
109	0.4180580728
110	0.4175886534
111	0.4169032385
112	0.4162405414
113	0.4152036154
114	0.4142770264
115	0.4133629195
116	0.4126486583
117	0.4123952328
118	0.4114864513
119	0.4104877326
120	0.4097045758
121	0.4090361888
122	0.4082298711
123	0.4071967053
124	0.4067131
125	0.4058068455
126	0.4050589675
127	0.4042830503
128	0.403496164
129	0.4028890744
130	0.4020402228
131	0.4012091947
132	0.400730323
133	0.399937605
134	0.3992208871
135	0.3985105669
136	0.3980283744
137	0.3975556934
138	0.3971065618
139	0.3966287097
140	0.395885479
141	0.3956792754
142	0.3949961462
143	0.3945729526
144	0.3939921699
145	0.3933449786
146	0.3928771703
147	0.3921525222
148	0.3916478065
149	0.3910418148
150	0.3904955687
151	0.3900725087
152	0.389678209
153	0.3892962346
154	0.3885569659
155	0.3882296383
156	0.3873740024
157	0.3872629835
158	0.3868133037
159	0.3863131963
160	0.385962488
161	0.3856486062
162	0.3848102615
163	0.384289808
164	0.3837774121
165	0.3832432971
166	0.382813868
167	0.3824819171
